file	line	macro	category	decision	contract	source
test/mix/tasks/workspace_before_remove_test.exs	162	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute error_output =~ "output="
test/mix/tasks/workspace_before_remove_test.exs	200	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute log =~ "pr close"
test/mix/tasks/workspace_before_remove_test.exs	232	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute log =~ "pr list"
test/mix/tasks/workspace_before_remove_test.exs	252	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute log =~ "pr list"
test/mix/tasks/workspace_before_remove_test.exs	385	flunk	control-flow	rewrite-match	explicit success shape	1_000 -> flunk("Timed out waiting for captured task output")
test/symphony_elixir/agent_runner/policy_test.exs	9	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute Policy.implementation_start_transition_required?(%Issue{state: "In Progress"}, "implementation")
test/symphony_elixir/agent_runner/policy_test.exs	10	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute Policy.implementation_start_transition_required?(%Issue{state: "Ready"}, "refinement")
test/symphony_elixir/agent_runner/policy_test.exs	16	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute Policy.refinement_start_transition_required?(%Issue{state: "Refining"}, "refinement")
test/symphony_elixir/agent_runner/policy_test.exs	35	refute	deployment-capability	review	docs/compose.md or docs/deployment.md	refute Policy.workflow_transition_allowed?(transitions, "Ready", "Done", "implementation")
test/symphony_elixir/agent_runner_test.exs	337	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute trace =~ "Current status: Ready"
test/symphony_elixir/agent_runner_test.exs	381	flunk	control-flow	rewrite-match	explicit success shape	flunk("Ready issue should not transition when Codex startup fails")
test/symphony_elixir/agent_runner_test.exs	471	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute trace =~ "Current status: Todo"
test/symphony_elixir/agent_runner_test.exs	533	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute trace =~ "Current status:"
test/symphony_elixir/agent_runner_test.exs	609	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute trace =~ "Current status:"
test/symphony_elixir/agent_runner_test.exs	678	refute	deployment-capability	review	docs/compose.md or docs/deployment.md	refute trace =~ "worker-b bash -lc"
test/symphony_elixir/agent_runner_test.exs	806	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute Enum.at(turn_texts, 1) =~ "You are an agent for this repository."
test/symphony_elixir/agent_runner_test.exs	905	flunk	control-flow	rewrite-match	explicit success shape	flunk("max-turn exhaustion must not create a pull request")
test/symphony_elixir/app_server_startup_test.exs	85	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute Enum.any?(lines, &String.contains?(&1, "--yolo"))
test/symphony_elixir/app_server_startup_test.exs	212	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute String.contains?(argv_line, "--ask-for-approval never")
test/symphony_elixir/app_server_startup_test.exs	213	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute String.contains?(argv_line, "--sandbox danger-full-access")
test/symphony_elixir/audit_event_write_semantics_test.exs	76	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute log =~ "outcome=:ok"
test/symphony_elixir/audit_event_write_semantics_test.exs	124	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute log =~ "outcome=:ok"
test/symphony_elixir/auth_persistence_web_test.exs	32	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute Auth.verify("wrong", hash)
test/symphony_elixir/auth_persistence_web_test.exs	33	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute Auth.verify("correct horse", "plaintext")
test/symphony_elixir/auth_persistence_web_test.exs	34	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute Auth.verify("correct horse", "pbkdf2_sha256$bad$bad$bad")
test/symphony_elixir/auth_persistence_web_test.exs	35	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute Auth.verify(nil, hash)
test/symphony_elixir/auth_persistence_web_test.exs	40	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute Auth.enabled?()
test/symphony_elixir/auth_persistence_web_test.exs	41	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute Auth.configured?()
test/symphony_elixir/auth_persistence_web_test.exs	129	refute	structure-data	rewrite-exact	tested data/state contract	refute Process.whereis(SymphonyElixir.Repo)
test/symphony_elixir/auth_persistence_web_test.exs	152	refute	deployment-capability	review	docs/compose.md or docs/deployment.md	refute html =~ ~s(href="/workflows")
test/symphony_elixir/auth_persistence_web_test.exs	153	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute html =~ ~s(href="/agent-settings")
test/symphony_elixir/auth_persistence_web_test.exs	160	refute	deployment-capability	review	docs/compose.md or docs/deployment.md	refute settings_html =~ ~s(href="/settings/workflow")
test/symphony_elixir/blocking_decision_test.exs	79	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute BlockingDecision.terminal_handoff_failure?(:capacity_exhausted)
test/symphony_elixir/codex/app_server_startup_policy_test.exs	159	refute	structure-data	rewrite-exact	tested data/state contract	refute File.exists?(marker_file)
test/symphony_elixir/codex/message_humanizer_status_test.exs	19	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute plain =~ <<27>>
test/symphony_elixir/codex/message_humanizer_status_test.exs	20	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute plain =~ <<0>>
